loss,test_loss,acc1,test_acc1,acc2,test_acc2,acc3,test_acc3
2.62592176,2.81657110,1.0000,1.0000,0.6481,0.5890,0.8656,0.8528
2.62050149,2.82900439,1.0000,1.0000,0.6442,0.5835,0.8695,0.8548
2.62351381,2.80344499,1.0000,1.0000,0.6449,0.5850,0.8694,0.8576
2.61286345,2.82967893,1.0000,1.0000,0.6530,0.5949,0.8705,0.8509
2.61483479,2.80710382,1.0000,1.0000,0.6458,0.5937,0.8720,0.8528
2.60436780,2.80956115,1.0000,0.9996,0.6574,0.5941,0.8718,0.8544
2.60198754,2.79241424,1.0000,0.9996,0.6522,0.5977,0.8698,0.8572
2.59324952,2.80640666,1.0000,1.0000,0.6573,0.5985,0.8756,0.8493
2.59938106,2.80442241,1.0000,1.0000,0.6543,0.5937,0.8743,0.8576
2.59212467,2.78874826,1.0000,1.0000,0.6560,0.6021,0.8743,0.8544
2.59211417,2.79131473,1.0000,1.0000,0.6640,0.5941,0.8728,0.8517
2.58956752,2.78610131,1.0000,1.0000,0.6556,0.6060,0.8717,0.8552
2.58127643,2.79671568,1.0000,1.0000,0.6616,0.5957,0.8731,0.8568
2.58134609,2.78111190,1.0000,1.0000,0.6564,0.6056,0.8732,0.8592
2.57382351,2.77935317,1.0000,1.0000,0.6613,0.6048,0.8761,0.8639
2.56980241,2.78274136,1.0000,1.0000,0.6664,0.6032,0.8763,0.8568
2.56020067,2.76385525,1.0000,1.0000,0.6660,0.6060,0.8805,0.8647
2.55726497,2.76734781,1.0000,1.0000,0.6659,0.6080,0.8774,0.8564
2.55918834,2.78820043,1.0000,1.0000,0.6697,0.5957,0.8810,0.8635
2.56161363,2.77430752,1.0000,1.0000,0.6669,0.6005,0.8783,0.8659
2.55625916,2.79879944,1.0000,1.0000,0.6698,0.6005,0.8801,0.8568
2.55455744,2.77877079,1.0000,1.0000,0.6671,0.6116,0.8815,0.8612
2.55377271,2.77730105,1.0000,1.0000,0.6699,0.6072,0.8776,0.8659
2.55297399,2.76495971,1.0000,1.0000,0.6715,0.6084,0.8802,0.8623
2.54370341,2.76951949,1.0000,1.0000,0.6739,0.6064,0.8802,0.8540
2.54908869,2.76382319,1.0000,1.0000,0.6709,0.6064,0.8815,0.8588
2.53297122,2.75428277,1.0000,1.0000,0.6806,0.6092,0.8844,0.8663
2.53868964,2.76334458,1.0000,0.9996,0.6750,0.6112,0.8821,0.8631
2.52830697,2.76832936,1.0000,1.0000,0.6800,0.5993,0.8828,0.8663
2.53111000,2.74940467,1.0000,1.0000,0.6771,0.6064,0.8846,0.8643
2.52615100,2.76127823,1.0000,1.0000,0.6838,0.6048,0.8865,0.8631
2.52531221,2.74444585,1.0000,1.0000,0.6787,0.6159,0.8844,0.8687
2.51976581,2.76146001,1.0000,1.0000,0.6803,0.6096,0.8888,0.8596
2.52347459,2.75228975,1.0000,1.0000,0.6799,0.6123,0.8843,0.8616
2.51362208,2.74693508,1.0000,1.0000,0.6840,0.6151,0.8848,0.8635
2.51008998,2.74189904,1.0000,1.0000,0.6867,0.6203,0.8865,0.8703
2.51004050,2.74417377,1.0000,1.0000,0.6838,0.6187,0.8892,0.8588
2.50822164,2.74538819,1.0000,1.0000,0.6835,0.6100,0.8878,0.8667
2.50934264,2.76188548,1.0000,1.0000,0.6824,0.6068,0.8899,0.8604
2.51237112,2.74457447,1.0000,1.0000,0.6832,0.6274,0.8862,0.8592
2.49916713,2.72420504,1.0000,1.0000,0.6870,0.6270,0.8880,0.8691
2.50285214,2.73681402,1.0000,1.0000,0.6895,0.6080,0.8898,0.8651
2.49356387,2.72847788,1.0000,1.0000,0.6902,0.6203,0.8908,0.8635
2.49869769,2.73934229,1.0000,1.0000,0.6891,0.6159,0.8897,0.8710
2.49279057,2.74589679,1.0000,1.0000,0.6894,0.6127,0.8929,0.8706
2.49015635,2.74680214,1.0000,1.0000,0.6888,0.6159,0.8926,0.8667
2.48737739,2.72549783,1.0000,1.0000,0.6930,0.6159,0.8888,0.8714
2.48184105,2.73168516,1.0000,1.0000,0.6931,0.6187,0.8924,0.8706
2.47982064,2.72417900,1.0000,1.0000,0.6953,0.6246,0.8921,0.8706
2.47981464,2.72309428,1.0000,1.0000,0.6960,0.6222,0.8909,0.8671
